season,year,avg_temp,total_precip
Autumn,1979,11.777906997259272,136.69999919831753
Spring,1979,8.605434795436652,259.4999982640147
Summer,1979,16.531521734984025,92.69999961555004
Winter,1979,3.1404761838771047,193.9999991133809
Autumn,1980,10.938461581429282,150.60000180453062
Spring,1980,9.233695644399393,119.79999903589487
Summer,1980,16.249999989633974,217.80000176280737
Winter,1980,5.007692300929473,99.89999971538782
Autumn,1981,11.107692254768622,205.2000000923872
Spring,1981,10.105434757211935,202.9999999254942
Summer,1981,16.609782581743985,141.4999973475933
Winter,1981,3.3719101016608515,121.69999968260527
Autumn,1982,11.876923093183356,221.60000003874302
Spring,1982,9.754347881545192,146.199999704957
Summer,1982,17.572826084883317,148.79999978095293
Winter,1982,4.66333333949248,133.20000069588423
Autumn,1983,11.662637393553178,124.09999941289425
Spring,1983,8.821739155313242,208.1000000834465
Summer,1983,19.046739194704138,73.69999898225069
Winter,1983,5.2933333238793745,129.09999936074018
Autumn,1984,12.078021966494047,226.0000004172325
Spring,1984,8.601086992284525,169.70000138878822
Summer,1984,18.079347848892212,83.10000016540289
Winter,1984,4.994444446927972,162.90000034868717
Autumn,1985,11.04065937262315,59.60000066459179
Spring,1985,9.088043442238932,132.1000021621585
Summer,1985,16.13369573717532,182.9999992698431
Winter,1985,3.9988888850642574,151.600001193583
Autumn,1986,11.28791209105607,161.29999940097332
Spring,1986,8.34565219088741,156.499999538064
Summer,1986,16.75108704359635,138.5000008866191
Winter,1986,3.4811111006471847,180.69999754428864
Autumn,1987,11.321111130714417,254.99999783188105
Spring,1987,9.256521751861209,136.69999966025352
Summer,1987,16.452173854993738,204.40000004321337
Winter,1987,4.118888877249426,57.90000019967556
Autumn,1988,10.906593428863275,100.10000122338533
Spring,1988,10.015217393636703,128.7999991774559
Summer,1988,16.22500000829282,181.40000097453594
Winter,1988,6.298901099425096,141.79999927431345
Autumn,1989,12.514444410800934,87.40000035613775
Spring,1989,10.722826040309409,132.8999993428588
Summer,1989,18.577173989752065,127.90000046044588
Winter,1989,6.503333314259847,185.50000144541264
Autumn,1990,12.009890076878307,96.70000074058771
Spring,1990,11.131521719953287,40.699999921023846
Summer,1990,18.184782577597577,73.19999992102385
Winter,1990,6.894444459345606,214.79999874532223
Autumn,1991,11.639560463664296,121.49999916553497
Spring,1991,9.873913054880889,87.7999996766448
Summer,1991,17.27499997097513,207.49999897927046
Winter,1991,3.9199999935097165,116.39999961107969
Autumn,1992,10.689011020974798,223.59999800473452
Spring,1992,11.285869536192521,190.09999909996986
Summer,1992,17.791304318801217,169.50000081211329
Winter,1992,5.073626354500488,66.1999993994832
Autumn,1993,9.749450508709792,248.80000195652246
Spring,1993,10.525000009847725,123.09999992698431
Summer,1993,16.748101282723344,99.6999998614192
Winter,1993,6.098888880014419,139.3000012487173
Autumn,1994,12.263736263736265,205.400002643466
Spring,1994,10.025000027988268,173.3999994173646
Summer,1994,18.494565238123354,66.09999919682741
Winter,1994,5.980000008973811,185.89999928325415
Autumn,1995,12.60439562535548,142.6999995931983
Spring,1995,10.2271739218546,96.39999947696924
Summer,1995,19.32608695652174,31.699999518692493
Winter,1995,5.415555532938904,268.39999812841415
Autumn,1996,11.447252750396729,148.40000055730343
Spring,1996,8.554347818312438,82.19999947398901
Summer,1996,17.99347822562508,86.6000005081296
Winter,1996,4.14835162460804,103.50000078231096
Autumn,1997,12.435164870796623,98.80000052601099
Spring,1997,11.220652201901311,49.39999984204769
Summer,1997,18.73478264394014,198.10000057518482
Winter,1997,5.650000018874804,112.60000088810921
Autumn,1998,11.578021963874063,262.0000004321337
Spring,1998,10.998913080795951,165.5999993979931
Summer,1998,17.091304312581602,133.10000064969063
Winter,1998,6.874444461448325,124.40000014007092
Autumn,1999,12.517582429634345,167.09999856352806
Spring,1999,11.294565221537715,96.4000009894371
Summer,1999,17.89891303103903,231.59999951720238
Winter,1999,5.9788888721002476,167.00000050663948
Autumn,2000,11.884615395095322,360.6999997869134
Spring,2000,10.492391275322955,202.80000042915344
Summer,2000,17.466304457705952,104.29999957233667
Winter,2000,6.43406590131613,152.59999945759773
Autumn,2001,12.28241755936172,201.60000053048134
Spring,2001,9.87282611656448,187.800000756979
Summer,2001,18.181521747423254,153.30000011622906
Winter,2001,4.891111104604271,162.59999971091747
Autumn,2002,12.457142887534676,232.60000075399876
Spring,2002,10.988043474114459,142.40000000596046
Summer,2002,17.610869552778162,177.70000277459621
Winter,2002,7.1788889163070255,234.00000028312206
Autumn,2003,12.141758295205923,157.40000040829182
Spring,2003,11.181521705959154,85.50000032782555
Summer,2003,19.634782614915267,86.79999957978725
Winter,2003,5.450000011920929,146.19999985396862
Autumn,2004,12.524175884959462,145.10000263154507
Spring,2004,10.602173916671587,144.2000002413988
Summer,2004,18.273913020673007,185.80000008642673
Winter,2004,6.017582399177027,144.60000055283308
Autumn,2005,12.893103455675059,148.299999371171
Spring,2005,10.520652116640754,93.39999969303608
Summer,2005,18.236956523812335,120.799999833107
Winter,2005,5.573033684090282,73.90000003576279
Autumn,2006,9.651612881691225,94.59999929368496
Spring,2006,8.671212139003204,89.19999998807907
Winter,2006,5.488750043977052,107.19999994337559
Autumn,2007,8.42749993801117,90.40000154078007
Spring,2007,11.291549236002103,74.40000002086163
Winter,2007,6.8542168811861295,176.9000001102686
Autumn,2008,7.821052670478821,73.79999922215939
Spring,2008,8.194736842523541,117.40000063180923
Winter,2008,6.1662790463414305,119.39999866485596
Autumn,2009,11.376666688919068,187.39999973773956
Spring,2009,8.842105238061203,31.80000050365925
Winter,2009,4.009411768176976,195.2000006735325
Autumn,2010,7.411111098610693,44.79999989271164
Spring,2010,8.710526290692782,56.000000804662704
Winter,2010,2.4348314653956487,173.6000008881092
Autumn,2011,11.771698097013077,42.59999988973141
Spring,2011,9.499999994455381,16.400000259280205
Winter,2011,6.515909094702113,171.6000002026558
Autumn,2012,11.351648349028368,201.39999917149544
Spring,2012,10.974725309309068,139.99999937415123
Summer,2012,17.25000006219615,219.0000008493662
Winter,2012,5.719780225020188,147.0000005364418
Autumn,2013,12.278021990597903,180.9999995827675
Spring,2013,8.405434751154289,128.5999999344349
Summer,2013,18.767391267030135,69.40000067651272
Winter,2013,5.0855555342303385,181.1000012010336
Autumn,2014,13.721977983202253,215.2000000178814
Spring,2014,11.664130392281905,170.40000000596046
Summer,2014,18.326086987619814,188.400003105402
Winter,2014,6.812222219175762,290.0000007003546
Autumn,2015,12.562921349921924,137.80000130832195
Spring,2015,10.720652175986249,81.80000020563602
Summer,2015,17.938043573628303,200.7999964952469
Winter,2015,7.2222222432494165,141.40000109374523
Autumn,2016,12.483516448146695,150.19999961555004
Spring,2016,10.19347826294277,180.4000008404255
Summer,2016,18.549450685689738,130.9999991953373
Winter,2016,6.397802206186148,128.9999994635582
Autumn,2017,12.215384626126552,102.39999984204769
Spring,2017,12.029670338054279,95.20000077784061
Summer,2017,18.5431818745353,195.0000002682209
Winter,2017,5.66444445202748,179.59999984502792
Autumn,2018,12.479120851873041,164.19999973475933
Spring,2018,11.143478220571643,204.80000104010105
Summer,2018,20.172826072444085,63.40000058710575
Winter,2018,6.183333333995607,147.60000059008598
Autumn,2019,11.964835214090872,230.59999784827232
Spring,2019,11.22826081255208,98.39999982714653
Summer,2019,18.927173884018607,166.20000013709068
Winter,2019,6.530000021639798,156.99999931454659
